Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Right_Atrium__H3K27ac	-4.58417444234e-10	7.07433077202e-08	0.502585132454
Nerve-Tibial_ENTEX__H3K4me3	-1.99942159045e-09	2.11802641645e-07	0.503765967958
Right_Atrium__H3K36me3	-1.16545417823e-09	1.2185311258e-07	0.503815592799
Colon_Smooth_Muscle__H3K9ac	-2.22855575829e-09	1.20163121453e-07	0.507398394294
Brain_Substantia_Nigra__H3K4me1	-8.37165525641e-10	4.20029933296e-08	0.507950828893
Rectal_Smooth_Muscle__H3K4me3	-4.79051912179e-09	1.74046098828e-07	0.510979271306
NHLF_Lung_Fibroblast_Primary_Cells__H3K9ac	-9.9579502804e-09	2.43830807565e-07	0.516288111406
Primary_T_helper_memory_cells_from_peripheral_blood_2__H3K4me3	-8.66432623391e-09	1.71745139948e-07	0.520117602296
Skeletal_Muscle_Female__H3K27ac	-2.98109216651e-09	4.54036469957e-08	0.526174764686
Brain_Hippocampus_Middle__H3K36me3	-4.79108128516e-09	6.41809415871e-08	0.529753243397
Adipose_Nuclei__H3K4me3	-6.92375292414e-09	9.00668744149e-08	0.530637897446
Primary_hematopoietic_stem_cells__H3K4me1	-8.0303547904e-09	9.07946799687e-08	0.535238586271
Pancreas__H3K36me3	-7.06345295894e-09	7.78927151755e-08	0.536127290567
NHEK-Epidermal_Keratinocyte_Primary_Cells__DNase	-1.01444795133e-08	1.00908675907e-07	0.540038729182
Primary_hematopoietic_stem_cells__H3K36me3	-9.199903292e-09	8.92828907628e-08	0.54103525103
Cortex_derived_primary_cultured_neurospheres__H3K4me1	-5.28910004917e-09	4.77890948648e-08	0.544063312629
Primary_hematopoietic_stem_cells_G-CSF-mobilized_Female__DNase	-1.5560520952e-08	1.33976163597e-07	0.546230771603
Fetal_Kidney__H3K4me3	-2.67239655306e-08	2.25199483117e-07	0.547230793326
Primary_mononuclear_cells_from_peripheral_blood__H3K27ac	-2.04799674122e-08	1.61224782123e-07	0.55054065012
Pancreas__H3K4me3	-2.41921923589e-08	1.84203278041e-07	0.552244535521
Adipose_Nuclei__H3K4me1	-6.8423433335e-09	5.15112421177e-08	0.552836892381
Brain_Germinal_Matrix__H3K4me1	-1.31844714445e-08	9.55475989862e-08	0.554875253407
Primary_T_cells_from_peripheral_blood__H3K4me1	-7.35758503661e-09	4.90302419266e-08	0.55964222136
Skin_tissue_ENTEX__H3K4me3	-2.73148861977e-08	1.80443948635e-07	0.560160446366
Aorta__H3K4me3	-3.59850368175e-08	2.28619904576e-07	0.562535648001
Stomach_ENTEX__H3K4me3	-2.70595933931e-08	1.6569088667e-07	0.564864280045
Foreskin_Melanocyte_Primary_Cells_skin01__H3K4me3	-2.92226879768e-08	1.72202037528e-07	0.567376968007
Heart-Atrial_ENTEX__H3K27ac	-6.35344356751e-09	3.60813914145e-08	0.569886980963
Right_Ventricle__H3K4me3	-3.58613425031e-08	2.03123352583e-07	0.570068899269
Colon-TV_ENTEX__H3K36me3	-1.28838699601e-08	7.04660880451e-08	0.572537386128
Fetal_Muscle_Trunk__H3K4me1	-7.30316681064e-09	3.82916669178e-08	0.575629358231
Breast_variant_Human_Mammary_Epithelial_Cells_(vHMEC)__H3K36me3	-6.36131730731e-09	3.17447362896e-08	0.579412082065
Duodenum_Mucosa__H3K9ac	-2.70152653047e-08	1.27510300654e-07	0.583894725541
Fetal_Thymus__H3K4me1	-7.69867626539e-09	3.63037864571e-08	0.58397091139
Fetal_Thymus__DNase	-2.09629930867e-08	9.8716913753e-08	0.584084808322
Primary_mononuclear_cells_from_peripheral_blood__H3K4me1	-3.29313073038e-08	1.48668931192e-07	0.587651414174
Brain_Substantia_Nigra__H3K36me3	-2.33043659702e-08	1.02561979094e-07	0.589874545206
Spleen_ENTEX__H3K36me3	-7.14830658082e-09	3.04554866083e-08	0.592784352825
Stomach_Smooth_Muscle__H3K9ac	-3.84453928673e-08	1.46627845661e-07	0.603415247461
Brain_Angular_Gyrus__H3K36me3	-2.34244831799e-08	8.84267725412e-08	0.604457757653
Gastric__DNase	-4.74971754591e-08	1.78913390306e-07	0.604678525062
